id,device,timestamp,activityLevel,timestamp
64e6d333-e746-42bc-b4e2-c8e3e3854b12-311,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141894.155,high,1435141894.155
64e6d333-e746-42bc-b4e2-c8e3e3854b12-708,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141895.881,high,1435141895.881
64e6d333-e746-42bc-b4e2-c8e3e3854b12-890,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141896.777,high,1435141896.777
64e6d333-e746-42bc-b4e2-c8e3e3854b12-1057,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141897.594,high,1435141897.594
64e6d333-e746-42bc-b4e2-c8e3e3854b12-1258,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141898.588,high,1435141898.588
64e6d333-e746-42bc-b4e2-c8e3e3854b12-1501,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141899.797,high,1435141899.797
64e6d333-e746-42bc-b4e2-c8e3e3854b12-1734,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141900.932,high,1435141900.932
64e6d333-e746-42bc-b4e2-c8e3e3854b12-1939,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141901.945,high,1435141901.945
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2152,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.979,high,1435141902.979
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2330,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141903.845,high,1435141903.845
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2647,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141905.416,high,1435141905.416
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2846,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141906.401,high,1435141906.401
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12045,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142026.209,high,1435142026.209
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12048,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142027.21,high,1435142027.21
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12051,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142028.213,high,1435142028.213
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12054,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142029.216,high,1435142029.216
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12057,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142030.217,high,1435142030.217
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12060,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142031.219,high,1435142031.219
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12063,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142032.221,high,1435142032.221
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12066,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142033.227,high,1435142033.227
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12069,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435142034.225,high,1435142034.225
