id,device,timestamp,accuracy,timestamp,x,y,z
64e6d333-e746-42bc-b4e2-c8e3e3854b12-3,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.54513,3,2870247177.54513,1.1098659,0.59972906,-2.9679089
64e6d333-e746-42bc-b4e2-c8e3e3854b12-4,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.549921,3,2870247177.549921,1.1639589,0.541214,-3.1023731
64e6d333-e746-42bc-b4e2-c8e3e3854b12-5,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.554956,3,2870247177.554956,1.1692088,0.36724043,-3.2213173
64e6d333-e746-42bc-b4e2-c8e3e3854b12-6,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.560114,3,2870247177.560114,1.2380834,0.17581081,-3.427332
64e6d333-e746-42bc-b4e2-c8e3e3854b12-7,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.565027,3,2870247177.565027,0.87111384,-0.006644249,-3.5845356
64e6d333-e746-42bc-b4e2-c8e3e3854b12-8,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.570063,3,2870247177.570063,0.005979363,-0.08697176,-3.1579027
64e6d333-e746-42bc-b4e2-c8e3e3854b12-9,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.575189,3,2870247177.575189,0.21885425,-0.21872044,-3.8487654
64e6d333-e746-42bc-b4e2-c8e3e3854b12-10,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.580164,3,2870247177.580164,0.65097135,-0.445446,-4.449254
64e6d333-e746-42bc-b4e2-c8e3e3854b12-11,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.585291,3,2870247177.585291,1.1525095,-0.6055894,-4.6421604
64e6d333-e746-42bc-b4e2-c8e3e3854b12-12,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.591028,3,2870247177.591028,1.4375572,-0.813797,-4.904665
64e6d333-e746-42bc-b4e2-c8e3e3854b12-13,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.59524,3,2870247177.59524,1.4130161,-1.0176916,-4.998454
64e6d333-e746-42bc-b4e2-c8e3e3854b12-14,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.600275,3,2870247177.600275,1.1521907,-1.1342187,-4.87346
64e6d333-e746-42bc-b4e2-c8e3e3854b12-15,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.605402,3,2870247177.605402,0.7497736,-1.2211142,-4.830323
64e6d333-e746-42bc-b4e2-c8e3e3854b12-16,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.610376,3,2870247177.610376,0.34206355,-1.2424397,-4.8411083
64e6d333-e746-42bc-b4e2-c8e3e3854b12-17,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.615473,3,2870247177.615473,0.2226246,-1.3073931,-4.85725
64e6d333-e746-42bc-b4e2-c8e3e3854b12-18,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.620447,3,2870247177.620447,0.29489353,-1.3548431,-5.093939
64e6d333-e746-42bc-b4e2-c8e3e3854b12-19,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.625482,3,2870247177.625482,0.5131706,-1.364347,-5.2787905
64e6d333-e746-42bc-b4e2-c8e3e3854b12-20,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.630457,3,2870247177.630457,0.8177597,-1.3181243,-5.632265
64e6d333-e746-42bc-b4e2-c8e3e3854b12-21,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.635584,3,2870247177.635584,1.1931335,-1.3142886,-5.873022
64e6d333-e746-42bc-b4e2-c8e3e3854b12-22,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.640558,3,2870247177.640558,1.5166047,-1.2588882,-6.0677004
64e6d333-e746-42bc-b4e2-c8e3e3854b12-23,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.645624,3,2870247177.645624,1.5814389,-1.1227698,-6.249525
64e6d333-e746-42bc-b4e2-c8e3e3854b12-24,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.650629,3,2870247177.650629,1.323459,-1.0427842,-6.17113
64e6d333-e746-42bc-b4e2-c8e3e3854b12-25,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.655664,3,2870247177.655664,1.0396168,-0.9889779,-5.824395
64e6d333-e746-42bc-b4e2-c8e3e3854b12-26,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.66073,3,2870247177.66073,0.62903255,-0.9862056,-5.4215136
64e6d333-e746-42bc-b4e2-c8e3e3854b12-27,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.665735,3,2870247177.665735,0.38244915,-0.70525455,-4.8904734
64e6d333-e746-42bc-b4e2-c8e3e3854b12-28,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.670893,3,2870247177.670893,-0.42746302,-0.8827896,-4.521229
64e6d333-e746-42bc-b4e2-c8e3e3854b12-29,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.675806,3,2870247177.675806,-1.2544162,-1.0347576,-4.2903395
64e6d333-e746-42bc-b4e2-c8e3e3854b12-30,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.68075,3,2870247177.68075,-1.7999144,-0.88021994,-4.264972
64e6d333-e746-42bc-b4e2-c8e3e3854b12-31,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870247177.685846,3,2870247177.685846,-2.3916264,-0.9860902,-4.294455
