id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationType,mExtras_nlpVersion,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_networkLocationType,mExtras_noGPSLocation_mExtras_nlpVersion,mExtras_noGPSLocation_mExtras_travelState,mExtras_noGPSLocation_mExtras_wifiScan,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mIsFromMockProvider,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mIsFromMockProvider,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
64e6d333-e746-42bc-b4e2-c8e3e3854b12-1,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.11,4.0,83.19999694824219,218.6,35918978425894,,,,,,,,,,,,,,,,,,,,,6,,True,True,True,True,False,51.26190101,6.81035575,gps,1.25,1435126778000,1435141892.11
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,76,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,9,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-44,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,78,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-15,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,88,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-62,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,24,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141892.114,20.173,0.0,0.0,50902362000000,wifi,2016,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-125,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,,stationary,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,1435141892.114
