id,device,timestamp,activityLevel,timestamp
1a1a3338-fedb-45cc-8282-e71b13669908-200,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214248.421,none,1435214248.421
1a1a3338-fedb-45cc-8282-e71b13669908-405,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214249.424,none,1435214249.424
1a1a3338-fedb-45cc-8282-e71b13669908-608,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214250.425,high,1435214250.425
1a1a3338-fedb-45cc-8282-e71b13669908-816,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214251.457,high,1435214251.457
1a1a3338-fedb-45cc-8282-e71b13669908-1014,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214252.43,high,1435214252.43
1a1a3338-fedb-45cc-8282-e71b13669908-1217,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214253.433,none,1435214253.433
1a1a3338-fedb-45cc-8282-e71b13669908-1420,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214254.434,none,1435214254.434
1a1a3338-fedb-45cc-8282-e71b13669908-1623,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214255.438,none,1435214255.438
1a1a3338-fedb-45cc-8282-e71b13669908-1826,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214256.44,none,1435214256.44
1a1a3338-fedb-45cc-8282-e71b13669908-2029,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214257.441,none,1435214257.441
1a1a3338-fedb-45cc-8282-e71b13669908-2231,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214258.442,none,1435214258.442
1a1a3338-fedb-45cc-8282-e71b13669908-2435,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214259.445,none,1435214259.445
1a1a3338-fedb-45cc-8282-e71b13669908-2637,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214260.447,none,1435214260.447
1a1a3338-fedb-45cc-8282-e71b13669908-2840,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214261.45,low,1435214261.45
1a1a3338-fedb-45cc-8282-e71b13669908-12166,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214372.559,low,1435214372.559
1a1a3338-fedb-45cc-8282-e71b13669908-12367,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214373.552,low,1435214373.552
1a1a3338-fedb-45cc-8282-e71b13669908-12569,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214374.554,low,1435214374.554
1a1a3338-fedb-45cc-8282-e71b13669908-12772,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214375.558,high,1435214375.558
1a1a3338-fedb-45cc-8282-e71b13669908-12974,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214376.564,high,1435214376.564
1a1a3338-fedb-45cc-8282-e71b13669908-13177,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214377.578,low,1435214377.578
1a1a3338-fedb-45cc-8282-e71b13669908-13377,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214378.563,high,1435214378.563
1a1a3338-fedb-45cc-8282-e71b13669908-13580,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214379.572,low,1435214379.572
1a1a3338-fedb-45cc-8282-e71b13669908-13782,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214380.567,low,1435214380.567
1a1a3338-fedb-45cc-8282-e71b13669908-13983,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214381.569,low,1435214381.569
1a1a3338-fedb-45cc-8282-e71b13669908-14186,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214382.572,low,1435214382.572
1a1a3338-fedb-45cc-8282-e71b13669908-14389,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214383.582,low,1435214383.582
1a1a3338-fedb-45cc-8282-e71b13669908-14589,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214384.576,low,1435214384.576
1a1a3338-fedb-45cc-8282-e71b13669908-14791,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435214385.579,high,1435214385.579
