id,device,timestamp,activityLevel,timestamp
59fba6f3-3948-4c1d-b08b-baddcdc4939f-83,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155071.624,low,1435155071.624
59fba6f3-3948-4c1d-b08b-baddcdc4939f-285,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155072.626,high,1435155072.626
59fba6f3-3948-4c1d-b08b-baddcdc4939f-489,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155073.629,low,1435155073.629
59fba6f3-3948-4c1d-b08b-baddcdc4939f-695,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155074.659,high,1435155074.659
59fba6f3-3948-4c1d-b08b-baddcdc4939f-895,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155075.633,low,1435155075.633
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1097,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155076.636,low,1435155076.636
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1300,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155077.637,high,1435155077.637
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1502,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155078.654,high,1435155078.654
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1709,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.643,high,1435155079.643
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1914,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155080.644,high,1435155080.644
59fba6f3-3948-4c1d-b08b-baddcdc4939f-2118,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155081.645,high,1435155081.645
59fba6f3-3948-4c1d-b08b-baddcdc4939f-2324,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155082.65,high,1435155082.65
59fba6f3-3948-4c1d-b08b-baddcdc4939f-2528,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155083.651,high,1435155083.651
59fba6f3-3948-4c1d-b08b-baddcdc4939f-2736,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155084.668,high,1435155084.668
59fba6f3-3948-4c1d-b08b-baddcdc4939f-12109,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155183.151,none,1435155183.151
59fba6f3-3948-4c1d-b08b-baddcdc4939f-12312,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155184.154,none,1435155184.154
59fba6f3-3948-4c1d-b08b-baddcdc4939f-12514,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155185.156,none,1435155185.156
59fba6f3-3948-4c1d-b08b-baddcdc4939f-12716,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155186.158,none,1435155186.158
59fba6f3-3948-4c1d-b08b-baddcdc4939f-12921,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155187.178,none,1435155187.178
59fba6f3-3948-4c1d-b08b-baddcdc4939f-13120,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155188.162,none,1435155188.162
59fba6f3-3948-4c1d-b08b-baddcdc4939f-13322,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155189.165,none,1435155189.165
59fba6f3-3948-4c1d-b08b-baddcdc4939f-13523,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155190.166,none,1435155190.166
59fba6f3-3948-4c1d-b08b-baddcdc4939f-13726,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155191.173,none,1435155191.173
59fba6f3-3948-4c1d-b08b-baddcdc4939f-13928,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155192.17,none,1435155192.17
