id,device,timestamp,accuracy,timestamp,x,y,z
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.391234,3,2870267847.391234,-0.10924029,-0.07777262,0.18173027
59fba6f3-3948-4c1d-b08b-baddcdc4939f-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.396331,3,2870267847.396331,-0.053812623,-0.01736784,0.19936275
59fba6f3-3948-4c1d-b08b-baddcdc4939f-3,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.401305,3,2870267847.401305,-0.10631919,-0.0767107,0.2038889
59fba6f3-3948-4c1d-b08b-baddcdc4939f-4,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.40634,3,2870267847.40634,-0.0464347,-0.048448086,0.19319153
59fba6f3-3948-4c1d-b08b-baddcdc4939f-5,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.411376,3,2870267847.411376,-0.10288149,-0.0939126,0.21585369
59fba6f3-3948-4c1d-b08b-baddcdc4939f-6,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.416472,3,2870267847.416472,-0.049145162,-0.103942394,0.16894722
59fba6f3-3948-4c1d-b08b-baddcdc4939f-7,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.422149,3,2870267847.422149,0.0016669631,-0.11208296,0.16886616
59fba6f3-3948-4c1d-b08b-baddcdc4939f-8,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.426482,3,2870267847.426482,0.00062406063,-0.11285734,0.16865826
59fba6f3-3948-4c1d-b08b-baddcdc4939f-9,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.431517,3,2870267847.431517,0.0067622066,-0.11885357,0.031921387
59fba6f3-3948-4c1d-b08b-baddcdc4939f-10,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.436553,3,2870267847.436553,0.034400642,-0.10850811,0.022805214
59fba6f3-3948-4c1d-b08b-baddcdc4939f-11,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.441588,3,2870267847.441588,0.03610605,-0.085389614,-0.0734663
59fba6f3-3948-4c1d-b08b-baddcdc4939f-12,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.446654,3,2870267847.446654,-0.02460283,-0.06949663,-0.06273556
59fba6f3-3948-4c1d-b08b-baddcdc4939f-13,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.451659,3,2870267847.451659,-0.011407018,-0.025165558,-0.1879921
59fba6f3-3948-4c1d-b08b-baddcdc4939f-14,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.456694,3,2870267847.456694,0.0043192506,-0.043406487,-0.21802616
59fba6f3-3948-4c1d-b08b-baddcdc4939f-15,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.46173,3,2870267847.46173,-0.005991876,-0.07038355,-0.27064323
59fba6f3-3948-4c1d-b08b-baddcdc4939f-16,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.466765,3,2870267847.466765,0.01660651,-0.1142478,-0.36104774
59fba6f3-3948-4c1d-b08b-baddcdc4939f-17,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.471801,3,2870267847.471801,-0.070990086,-0.049878597,-0.2622137
59fba6f3-3948-4c1d-b08b-baddcdc4939f-18,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.476867,3,2870267847.476867,-0.15349233,-0.09325123,-0.14430904
59fba6f3-3948-4c1d-b08b-baddcdc4939f-19,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.481902,3,2870267847.481902,-0.16018397,-0.0759964,0.036269188
59fba6f3-3948-4c1d-b08b-baddcdc4939f-20,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.486968,3,2870267847.486968,-0.053721964,-0.15795183,0.066557884
59fba6f3-3948-4c1d-b08b-baddcdc4939f-21,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.491973,3,2870267847.491973,-0.020081699,-0.1519289,0.060043335
59fba6f3-3948-4c1d-b08b-baddcdc4939f-22,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.496978,3,2870267847.496978,-0.087699294,-0.34067488,-1.0499725
59fba6f3-3948-4c1d-b08b-baddcdc4939f-23,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.502044,3,2870267847.502044,-0.30712545,-0.2860856,-1.4479704
59fba6f3-3948-4c1d-b08b-baddcdc4939f-24,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.507048,3,2870267847.507048,-0.21663958,0.1006093,-0.70286846
59fba6f3-3948-4c1d-b08b-baddcdc4939f-25,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.512084,3,2870267847.512084,-0.18885338,0.12561989,-0.16467857
59fba6f3-3948-4c1d-b08b-baddcdc4939f-26,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.517119,3,2870267847.517119,-0.15375823,-0.011116505,0.0064439774
59fba6f3-3948-4c1d-b08b-baddcdc4939f-27,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.522155,3,2870267847.522155,-0.10713303,-0.13158226,0.018069267
59fba6f3-3948-4c1d-b08b-baddcdc4939f-28,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.52719,3,2870267847.52719,0.028099716,-0.21330166,0.030755997
59fba6f3-3948-4c1d-b08b-baddcdc4939f-29,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.532225,3,2870267847.532225,0.113573074,-0.13132334,0.18132114
59fba6f3-3948-4c1d-b08b-baddcdc4939f-30,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.537261,3,2870267847.537261,0.14778107,-0.08315277,0.3460579
59fba6f3-3948-4c1d-b08b-baddcdc4939f-31,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.542327,3,2870267847.542327,0.18666923,-0.0039572716,0.48145008
59fba6f3-3948-4c1d-b08b-baddcdc4939f-32,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.547332,3,2870267847.547332,0.182136,0.008890629,0.61515236
59fba6f3-3948-4c1d-b08b-baddcdc4939f-33,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.552398,3,2870267847.552398,0.15591246,0.0055975914,0.48391724
59fba6f3-3948-4c1d-b08b-baddcdc4939f-34,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.557433,3,2870267847.557433,0.14351371,-0.08428669,0.42614746
59fba6f3-3948-4c1d-b08b-baddcdc4939f-35,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.562468,3,2870267847.562468,0.08697623,-0.13817787,0.3737402
59fba6f3-3948-4c1d-b08b-baddcdc4939f-36,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.567565,3,2870267847.567565,0.045602947,-0.11847544,0.44575787
59fba6f3-3948-4c1d-b08b-baddcdc4939f-37,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.57315,3,2870267847.57315,0.016589344,-0.12712002,0.4863987
59fba6f3-3948-4c1d-b08b-baddcdc4939f-38,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.577514,3,2870267847.577514,0.027226299,-0.11977434,0.55078125
59fba6f3-3948-4c1d-b08b-baddcdc4939f-39,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.582579,3,2870267847.582579,0.10357401,-0.13269234,0.7150364
59fba6f3-3948-4c1d-b08b-baddcdc4939f-40,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.587615,3,2870267847.587615,0.16840568,-0.12843084,0.7450018
59fba6f3-3948-4c1d-b08b-baddcdc4939f-41,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.59262,3,2870267847.59262,0.13246989,-0.2253623,0.6950731
59fba6f3-3948-4c1d-b08b-baddcdc4939f-42,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.597747,3,2870267847.597747,0.13156843,-0.22450018,0.7371845
59fba6f3-3948-4c1d-b08b-baddcdc4939f-43,9416d62f-9e61-48b2-b55b-68c878fa3f17,2870267847.602721,3,2870267847.602721,0.13853082,-0.25170612,0.5058298
