id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationType,mExtras_nlpVersion,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_networkLocationType,mExtras_noGPSLocation_mExtras_nlpVersion,mExtras_noGPSLocation_mExtras_travelState,mExtras_noGPSLocation_mExtras_wifiScan,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mIsFromMockProvider,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mIsFromMockProvider,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1617,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.199,15.0,91.5999984741211,0.0,64220242833059,,,,,,,,,,,,,,,,,,,,,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.199
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,28,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,-58,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,60,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,45,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,86,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,-92,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,-79,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,116,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,49,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
59fba6f3-3948-4c1d-b08b-baddcdc4939f-1619,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435155079.205,15.0,91.5999984741211,0.0,64220242833059,,,48.233,0.0,0.0,64212372000000,wifi,2016,stationary,112,True,False,False,False,False,51.2546835,6.8030932,network,0.0,1435155071188,2,,True,True,False,True,False,51.25496303,6.80326627,gps,0.0,1435155080000,1435155079.205
