id,device,timestamp,activityLevel,timestamp
94111fcc-e2b1-4088-9314-2e84cb812c08-196,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126717.96,high,1435126717.96
94111fcc-e2b1-4088-9314-2e84cb812c08-401,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126718.962,high,1435126718.962
94111fcc-e2b1-4088-9314-2e84cb812c08-606,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126719.964,high,1435126719.964
94111fcc-e2b1-4088-9314-2e84cb812c08-811,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126720.966,high,1435126720.966
94111fcc-e2b1-4088-9314-2e84cb812c08-1016,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126721.969,high,1435126721.969
94111fcc-e2b1-4088-9314-2e84cb812c08-1221,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126722.971,high,1435126722.971
94111fcc-e2b1-4088-9314-2e84cb812c08-1427,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126723.973,high,1435126723.973
94111fcc-e2b1-4088-9314-2e84cb812c08-1631,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126724.975,high,1435126724.975
94111fcc-e2b1-4088-9314-2e84cb812c08-1836,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126725.977,high,1435126725.977
94111fcc-e2b1-4088-9314-2e84cb812c08-2042,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126726.98,high,1435126726.98
94111fcc-e2b1-4088-9314-2e84cb812c08-2246,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126727.981,high,1435126727.981
94111fcc-e2b1-4088-9314-2e84cb812c08-2451,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126728.984,high,1435126728.984
94111fcc-e2b1-4088-9314-2e84cb812c08-2656,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126729.985,high,1435126729.985
94111fcc-e2b1-4088-9314-2e84cb812c08-2864,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126731,high,1435126731
94111fcc-e2b1-4088-9314-2e84cb812c08-12080,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126844.356,high,1435126844.356
94111fcc-e2b1-4088-9314-2e84cb812c08-12084,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126845.356,high,1435126845.356
94111fcc-e2b1-4088-9314-2e84cb812c08-12087,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126846.358,high,1435126846.358
94111fcc-e2b1-4088-9314-2e84cb812c08-12090,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126847.36,high,1435126847.36
94111fcc-e2b1-4088-9314-2e84cb812c08-12093,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126848.362,high,1435126848.362
94111fcc-e2b1-4088-9314-2e84cb812c08-12096,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126849.366,high,1435126849.366
94111fcc-e2b1-4088-9314-2e84cb812c08-12099,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126850.366,high,1435126850.366
94111fcc-e2b1-4088-9314-2e84cb812c08-12102,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126851.368,high,1435126851.368
94111fcc-e2b1-4088-9314-2e84cb812c08-12105,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126852.371,high,1435126852.371
94111fcc-e2b1-4088-9314-2e84cb812c08-12108,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126853.372,high,1435126853.372
94111fcc-e2b1-4088-9314-2e84cb812c08-12111,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126854.375,high,1435126854.375
