id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationType,mExtras_nlpVersion,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_networkLocationType,mExtras_noGPSLocation_mExtras_nlpVersion,mExtras_noGPSLocation_mExtras_travelState,mExtras_noGPSLocation_mExtras_wifiScan,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mIsFromMockProvider,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mIsFromMockProvider,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
94111fcc-e2b1-4088-9314-2e84cb812c08-1,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.757,6.0,82.69999694824219,0.0,34031034441298,,,,,,,,,,,,,,,,,,,,,7,,True,True,False,True,False,51.23698417,6.77983887,gps,0.0,1435124889000,1435126716.757
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-32,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,16,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,127,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-7,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,61,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,91,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-68,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,124,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,79,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-75,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-77,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-8,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-64,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-78,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,8,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-106,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-41,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,41,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,113,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,56,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-79,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,52,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,49,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-60,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,20,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-56,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,76,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-82,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,36,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,101,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,17,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,13,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-44,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-116,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-84,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-116,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,4,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-1,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-11,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-33,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-17,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-84,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,0,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,34,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,63,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-65,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,103,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,44,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-84,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-124,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-100,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-90,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,11,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-59,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-109,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-92,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-64,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
94111fcc-e2b1-4088-9314-2e84cb812c08-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435126716.77,50.356,0.0,0.0,35803300000000,wifi,2016,50.356,0.0,0.0,35803300000000,wifi,2016,moving,-1,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,,moving,True,False,False,False,False,51.2613996,6.8097012,network,0.0,1435126660604,1435126716.77
