id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationType,mExtras_nlpVersion,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_networkLocationType,mExtras_noGPSLocation_mExtras_nlpVersion,mExtras_noGPSLocation_mExtras_travelState,mExtras_noGPSLocation_mExtras_wifiScan,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mIsFromMockProvider,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mIsFromMockProvider,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
18247551-0650-49bb-b118-a6fe3e2c6c18-1,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.408,10.0,96.4000015258789,0.0,67449903474588,,,,,,,,,,,,,,,,,,,,,7,,True,True,False,True,False,51.25560649,6.80809995,gps,0.0,1435395516000,1435396226.408
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,24,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,-125,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,-65,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,-55,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,34,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,-70,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,-62,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,76,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
18247551-0650-49bb-b118-a6fe3e2c6c18-2,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435396226.454,30.0,0.0,0.0,68042789000000,wifi,2016,30.0,0.0,0.0,68042789000000,wifi,2016,stationary,9,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,,stationary,True,False,False,False,False,51.2555025,6.8079991,network,0.0,1435396106755,1435396226.454
